,Date,gain,total_gain
369,2022-03-29,9.399999999999864,1074.9999999999982
370,2022-03-30,-3.5,1071.4999999999982
371,2022-03-31,5.7999999999999545,1077.2999999999981
372,2022-04-01,27.40000000000009,1104.6999999999982
375,2022-04-04,12.399999999999864,1117.099999999998
376,2022-04-05,-2.900000000000091,1114.199999999998
377,2022-04-06,14.100000000000136,1128.2999999999981
378,2022-04-07,-9.900000000000091,1118.399999999998
379,2022-04-08,-5.5,1112.899999999998
382,2022-04-11,0.0,1112.899999999998
383,2022-04-12,-5.899999999999864,1106.9999999999982
384,2022-04-13,9.700000000000045,1116.6999999999982
385,2022-04-14,8.700000000000045,1125.3999999999983
386,2022-04-15,12.599999999999909,1137.9999999999982
389,2022-04-18,-18.40000000000009,1119.599999999998
390,2022-04-19,25.100000000000136,1144.6999999999982
391,2022-04-20,3.7000000000000455,1148.3999999999983
392,2022-04-21,-5.2999999999999545,1143.0999999999983
393,2022-04-22,-4.7000000000000455,1138.3999999999983
396,2022-04-25,58.80000000000018,1197.1999999999985
397,2022-04-26,35.399999999999864,1232.5999999999983
398,2022-04-27,9.300000000000182,1241.8999999999985
399,2022-04-28,-0.8000000000001819,1241.0999999999983
400,2022-04-29,15.799999999999955,1256.8999999999983
403,2022-05-02,0.0,1256.8999999999983
404,2022-05-03,0.0,1256.8999999999983
405,2022-05-04,8.000000000000227,1264.8999999999985
406,2022-05-05,-12.899999999999864,1251.9999999999986
407,2022-05-06,-37.799999999999955,1214.1999999999987
410,2022-05-09,20.699999999999818,1234.8999999999985
411,2022-05-10,25.0,1259.8999999999985
412,2022-05-11,-1.4000000000003183,1258.4999999999982
413,2022-05-12,43.80000000000018,1302.2999999999984
414,2022-05-13,49.399999999999864,1351.6999999999982
417,2022-05-16,-12.100000000000136,1339.599999999998
418,2022-05-17,64.10000000000014,1403.6999999999982
419,2022-05-18,-0.09999999999990905,1403.5999999999983
420,2022-05-19,2.0,1405.5999999999983
421,2022-05-20,2.099999999999909,1407.6999999999982
424,2022-05-23,30.59999999999991,1438.2999999999981
425,2022-05-24,-19.40000000000009,1418.899999999998
426,2022-05-25,30.299999999999955,1449.199999999998
427,2022-05-26,1.5,1450.699999999998
428,2022-05-27,20.200000000000045,1470.899999999998
431,2022-05-30,1.3999999999996362,1472.2999999999977
432,2022-05-31,-8.400000000000091,1463.8999999999976
433,2022-06-01,5.2000000000000455,1469.0999999999976
434,2022-06-02,4.7999999999999545,1473.8999999999976
435,2022-06-03,3.2999999999999545,1477.1999999999975
438,2022-06-06,-3.2999999999999545,1473.8999999999976
439,2022-06-07,-11.200000000000273,1462.6999999999973
440,2022-06-08,16.899999999999864,1479.5999999999972
441,2022-06-09,-5.999999999999773,1473.5999999999974
442,2022-06-10,-22.700000000000045,1450.8999999999974
445,2022-06-13,-47.799999999999955,1403.0999999999974
446,2022-06-14,7.7000000000000455,1410.7999999999975
447,2022-06-15,5.100000000000136,1415.8999999999976
448,2022-06-16,32.600000000000136,1448.4999999999977
449,2022-06-17,-43.899999999999864,1404.5999999999979
452,2022-06-20,-31.700000000000045,1372.8999999999978
453,2022-06-21,15.299999999999955,1388.1999999999978
454,2022-06-22,20.40000000000009,1408.5999999999979
455,2022-06-23,11.400000000000091,1419.999999999998
456,2022-06-24,-0.8000000000001819,1419.1999999999978
459,2022-06-27,20.0,1439.1999999999978
460,2022-06-28,12.5,1451.6999999999978
461,2022-06-29,-0.3999999999998636,1451.299999999998
462,2022-06-30,-19.600000000000136,1431.6999999999978
463,2022-07-01,-9.900000000000091,1421.7999999999977
466,2022-07-04,0.0,1421.7999999999977
467,2022-07-05,10.300000000000182,1432.0999999999979
468,2022-07-06,-16.09999999999991,1415.999999999998
469,2022-07-07,6.7000000000000455,1422.699999999998
470,2022-07-08,0.0,1422.699999999998
473,2022-07-11,7.899999999999864,1430.5999999999979
474,2022-07-12,12.299999999999955,1442.8999999999978
475,2022-07-13,2.400000000000091,1445.299999999998
476,2022-07-14,5.400000000000091,1450.699999999998
477,2022-07-15,9.899999999999864,1460.5999999999979
480,2022-07-18,5.099999999999909,1465.6999999999978
481,2022-07-19,-2.2999999999999545,1463.3999999999978
482,2022-07-20,12.5,1475.8999999999978
483,2022-07-21,7.7000000000000455,1483.5999999999979
484,2022-07-22,-0.8000000000001819,1482.7999999999977
487,2022-07-25,-3.5,1479.2999999999977
488,2022-07-26,-3.0,1476.2999999999977
489,2022-07-27,-12.399999999999636,1463.899999999998
