,Date,gain,total_gain
1462,2021-08-11,14.599999999999909,453.099999999999
1463,2021-08-12,12.599999999999909,465.6999999999989
1464,2021-08-13,11.400000000000091,477.099999999999
1467,2021-08-16,16.90000000000009,493.9999999999991
1468,2021-08-17,12.5,506.4999999999991
1469,2021-08-18,-2.5,503.9999999999991
1470,2021-08-19,-9.699999999999818,494.2999999999993
1471,2021-08-20,40.100000000000136,534.3999999999994
1474,2021-08-23,16.09999999999991,550.4999999999993
1475,2021-08-24,3.2000000000000455,553.6999999999994
1476,2021-08-25,15.599999999999909,569.2999999999993
1477,2021-08-26,15.5,584.7999999999993
1478,2021-08-27,-23.200000000000045,561.5999999999992
1481,2021-08-30,-4.499999999999773,557.0999999999995
1482,2021-08-31,0.5,557.5999999999995
1483,2021-09-01,0.900000000000091,558.4999999999995
1484,2021-09-02,0.0,558.4999999999995
1485,2021-09-03,0.0,558.4999999999995
1488,2021-09-06,-1.6000000000001364,556.8999999999994
1489,2021-09-07,-3.8999999999998636,552.9999999999995
1490,2021-09-08,5.799999999999727,558.7999999999993
